,result.raw 100000
Runtime,497600105.0
HtoD copy time,45655.0
DtoH copy time,51130.0
#Threads,256.0
#Teams,1024.0
Instructions Executed,39463637330.5836
IPC,1.3733057999999805
Shared Memory Stores,0.0
Shared Memory Loads,0.0
Shared Memory Store Bank Conflicts,0.0
Shared Memory Load Bank Conflicts,0.0
Global Memory Load Instructions,748800000.0
Global Memory Store Instructions,819200000.0
Global Memory Load (MB),63430220.76002445
Global Memory Store (MB),18693868.970009238
Global Memory Load Throughput (GB/s),108.06036599999462
Global Memory Store Throughput (GB/s),31.847489700000892
Global Memory Load Bank Conflicts,2389590755.0
Global Memory Store Bank Conflicts,1445855821.0
L1 Cache Accesses (Bytes),703171.9100000297
L1 Cache Hits (%),77.1795550000283
L1 Cache Throughput (GB/s),1.3699604000000025
L2 Cache Accesses (Bytes),27745182.240002174
L2 Cache Hits (%),79.8593887999995
L2 Cache Throughput (GB/s),276.1093627000143
#Divergent Branches,44500000.0
Warp Stalls - Barrier Not Issued,0.0
Warp Stalls - Branch Resolving Not Issued,476187.0
Warp Stalls - Dispatch Stall Not Issued,23155.0
Warp Stalls - Drain Not Issued,2255631.0
Warp Stalls - IMC Miss Not Issued,3606340.0
Warp Stalls - LG Throttle Not Issued,2973626.0
Warp Stalls - Long Scoreboard Not Issued,2031713.0
Warp Stalls - Math Pipe Throttle Not Issued,50267.0
Warp Stalls - Membar Not Issued,0.0
Warp Stalls - MIO Throttle Not Issued,166291.0
Warp Stalls - Misc Not Issued,16421.0
Warp Stalls - No Instructions Not Issued,3120944.0
Warp Stalls - Not Selected Not Issued,0.0
Warp Stalls - Selected Not Issued,0.0
Warp Stalls - Short Scoreboard Not Issued,457595.0
Warp Stalls - Sleeping Not Issued,0.0
Warp Stalls - TEX Throttle Not Issued,0.0
Warp Stalls - Wait Not Issued,1031972.0
Occupancy,6338014.249999984
