,omp 101 5,sycl 101 5,hip 101 5
Runtime,986845962.0,813885043.0,809033700.0
SALU Instructions per wave,71109.33,89.0,89.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.5,0.76,0.77
L1 Requests per wave,524288.0,192.0,192.0
L1 Hit Rate,50.0,50.0,50.0
L2 Requests per wave,65554.95,24.03,24.04
L2 Hit Rate,33.32,33.23,33.27
Wavefront Occupancy (% of peak),1676.88,3656.87,3711.56
Dependency Wait Cycles per wave,7603143.8,5019.25,5590.27
Issue Wait Cycles per wave,1627432.6,1850.54,1346.82
Grid Size,122880.0,335544320.0,335544320.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,8192.0,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,8192.0,3.0,3.0
Global Memory Read Instructions per wave,5461.33,2.0,2.0
Global Memory Write Instructions per wave,2730.67,1.0,1.0
Coalesced Instructions (% of peak),25.0,25.0,25.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,136529913.6,466616320.0,466616320.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,1006632960.0,1006632960.0,1006632960.0
L2 Requests,125865504.0,125986406.4,126038835.19999999
Dependency Wait Cycles,14598036096.0,26315325440.0,29309114777.600002
Issue Wait Cycles,3124670592.0,9702159155.2,7061215641.599999
Shared Memory Instructions,15728640.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,15728640.0,15728640.0,15728640.0
Global Memory Read Instructions,10485753.6,10485760.0,10485760.0
Global Memory Write Instructions,5242886.4,5242880.0,5242880.0
Global Atomic Operations,0.0,0.0,0.0
