,omp 7 15 8000 100,sycl 7 15 8000 100,hip 7 15 8000 100
Runtime,2803134286.0,4795438246.0,5100134802.0
SALU Instructions per wave,424.0,333.0,219.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.09,0.07,0.06
L1 Requests per wave,62816.0,92448.0,98912.0
L1 Hit Rate,11.42,6.51,5.75
L2 Requests per wave,13711.72,21397.62,23094.79
L2 Hit Rate,25.96,16.2,14.91
Wavefront Occupancy (% of peak),471.6,1868.0,1870.55
Dependency Wait Cycles per wave,421446.11,3622743.82,3979954.94
Issue Wait Cycles per wave,108360.21,342999.48,245464.7
Grid Size,2048000.0,2048000.0,2048000.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,11264.0,10752.0,10752.0
Shared Memory Instructions per wave,2003.25,2333.5,1805.5
Shared Memory Bank Conflicts (%),3.76,3.97,2.9
Register Spill Instructions per wave,3168.0,5020.0,5424.0
Global Memory Instructions per wave,189.5,189.5,189.5
Global Memory Read Instructions per wave,177.5,177.5,177.5
Global Memory Write Instructions per wave,12.0,12.0,12.0
Coalesced Instructions (% of peak),85.52,90.16,90.8
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,13568000.0,10656000.0,7008000.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,2010112000.0,2958336000.0,3165184000.0
L2 Requests,438775040.0,684723840.0,739033280.0
Dependency Wait Cycles,13486275520.0,115927802240.0,127358558080.0
Issue Wait Cycles,3467526720.0,10975983360.0,7854870400.0
Shared Memory Instructions,64104000.0,74672000.0,57776000.0
Register Spill Instructions,101376000.0,160640000.0,173568000.0
Global Memory Instructions,6064000.0,6064000.0,6064000.0
Global Memory Read Instructions,5680000.0,5680000.0,5680000.0
Global Memory Write Instructions,384000.0,384000.0,384000.0
Global Atomic Operations,0.0,0.0,0.0
