,omp 100000 100 omp offloading kernel,sycl 100000 100 sycl kernel,hip 100000 100 hip_kernel
Runtime,47323566.0,27875864.0,37291870.0
SALU Instructions per wave,446.71,461.35,516.12
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.16,0.19,0.22
L1 Requests per wave,1393.87,1377.89,2362.28
L1 Hit Rate,50.19,50.05,48.99
L2 Requests per wave,254.73,254.88,267.5
L2 Hit Rate,41.81,42.97,45.79
Wavefront Occupancy (% of peak),117.62,118.46,90.42
Dependency Wait Cycles per wave,35704.55,27862.03,21009.15
Issue Wait Cycles per wave,106.18,121.98,155.14
Grid Size,8960.0,8960.0,8960.0
#Threads,80.0,80.0,80.0
Shared Memory Allocated,3584.0,3584.0,3584.0
Shared Memory Instructions per wave,202.25,173.89,187.09
Shared Memory Bank Conflicts (%),0.51,0.64,0.63
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,32.46,31.44,92.87
Global Memory Read Instructions per wave,25.44,24.42,71.42
Global Memory Write Instructions per wave,7.01,7.01,21.5
Coalesced Instructions (% of peak),52.22,51.95,68.89
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,4395.87,4370.24,3543.6
Global Write/Atomic Bytes per wave,2726.47,136.4,159.99
SALU Instructions,62539.399999999994,64589.0,72256.8
VALU Instructions,0.0,0.0,0.0
L1 Requests,195141.8,192904.6,330719.2
L2 Requests,35662.2,35683.2,37450.0
Dependency Wait Cycles,4998637.0,3900684.1999999997,2941281.0
Issue Wait Cycles,14865.2,17077.2,21719.6
Shared Memory Instructions,28315.0,24344.6,26192.600000000002
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,4544.400000000001,4401.6,13001.800000000001
Global Memory Read Instructions,3561.6000000000004,3418.8,9998.800000000001
Global Memory Write Instructions,981.4,981.4,3010.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,615421.7999999999,611833.6,496104.0
Global Write/Atomic Bytes,381705.8,19096.0,22398.600000000002
