,omp 10 omp offloading kernel,sycl 10 sycl kernel,hip 10 hip_kernel
Runtime,24681958151.0,46343145050.0,17727876981.0
SALU Instructions per wave,2098928.07,4903134.53,2097252.33
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.33,0.26,0.26
L1 Requests per wave,134229400.18,179266747.73,44739328.0
L1 Hit Rate,41.67,36.67,33.34
L2 Requests per wave,50329084.77,100657454.92,44734966.37
L2 Hit Rate,4.26,18.79,0.64
Wavefront Occupancy (% of peak),549.79,778.4,728.0
Dependency Wait Cycles per wave,1211739696.54,2237262983.04,823845267.4
Issue Wait Cycles per wave,3147531.83,389796.6,111353.39
Grid Size,41045.33,22369706.67,22369706.67
#Threads,170.67,170.67,170.67
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,2097334.38,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,703882.7,0.0
Global Memory Instructions per wave,2097334.38,2801036.38,699052.0
Global Memory Read Instructions per wave,699050.67,1398101.33,0.33
Global Memory Write Instructions per wave,699233.04,699051.33,1.0
Coalesced Instructions (% of peak),25.0,27.09,25.0
Global Atomic Operations per wave,699050.67,703887.37,699050.67
Global Read Bytes per wave ,2808971829.43,2810082974.32,2808998186.82
Global Write/Atomic Bytes per wave,1428665949.69,1428755451.3,1428173832.23
SALU Instructions,1346112426.2408297,1713776268744.5051,733045616173.032
VALU Instructions,0.0,0.0,0.0
L1 Requests,86085781657.65875,62658508787577.945,15637588187076.842
L2 Requests,32277717077.853504,35182464698580.445,15636063681081.48
Dependency Wait Cycles,777128995602.8774,781983073035218.6,287955890206339.3
Issue Wait Cycles,2018616916.3727174,136244306296.30191,38920979234.53299
Shared Memory Instructions,1345090339.8038344,0.0,0.0
Register Spill Instructions,0.0,246025773891.9939,0.0
Global Memory Instructions,1345090339.8038344,979036909259.354,244337315423.07565
Global Memory Read Instructions,448324459.95111096,488673697609.9512,115343.80001718752
Global Memory Write Instructions,448441419.9016125,244337081240.20892,349526.66671875
Global Atomic Operations,448324459.95111096,246027406181.5275,244336850552.60892
Global Read Bytes ,1801487120307.1572,982198935217180.5,981819773058207.4
Global Write/Atomic Bytes,916251021324.8352,499388130449132.4,499184839074295.25
