,omp 256 256 256 1000 omp offloading kernel,sycl 256 256 256 1000 sycl kernel,hip 256 256 256 1000 hip_kernel
Runtime,3645755168.0,3573236921.0,3530553432.0
SALU Instructions per wave,13932.95,188.04,180.07
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.57,0.63,0.63
L1 Requests per wave,43690.67,320.0,320.0
L1 Hit Rate,50.0,50.0,50.0
L2 Requests per wave,5468.89,40.02,40.01
L2 Hit Rate,0.0,0.0,0.0
Wavefront Occupancy (% of peak),1250.71,2810.12,3298.9
Dependency Wait Cycles per wave,308950.4,1218.12,1158.12
Issue Wait Cycles per wave,1680281.45,39672.59,47419.6
Grid Size,122880.0,16777216.0,16777216.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,682.67,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,682.67,5.0,5.0
Global Memory Read Instructions per wave,273.07,2.0,2.0
Global Memory Write Instructions per wave,409.6,3.0,3.0
Coalesced Instructions (% of peak),25.0,25.0,25.0
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,140304.68,1025.43,1024.84
Global Write/Atomic Bytes per wave,209715.2,1523.45,1535.82
SALU Instructions,26751264.0,49293557.76,47204270.08
VALU Instructions,0.0,0.0,0.0
L1 Requests,83886086.39999999,83886080.0,83886080.0
L2 Requests,10500268.8,10491002.88,10488381.44
Dependency Wait Cycles,593184768.0,319322849.28,303594209.28
Issue Wait Cycles,3226140384.0,10399931432.96,12430763622.4
Shared Memory Instructions,1310726.4,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,1310726.4,1310720.0,1310720.0
Global Memory Read Instructions,524294.4,524288.0,524288.0
Global Memory Write Instructions,786432.0,786432.0,786432.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,269384985.59999996,268810321.92,268655656.96
Global Write/Atomic Bytes,402653184.0,399363276.8,402605998.08
