,hybridsort r
Runtime,96229294.0
SALU Instructions per wave,31040.93
VALU Instructions per wave,0.0
IPC,0.15
L1 Requests per wave,352522.79
L1 Hit Rate,13.23
L2 Requests per wave,216472.8
L2 Hit Rate,38.02
Wavefront Occupancy (% of peak),1510.71
Dependency Wait Cycles per wave,3812842.65
Issue Wait Cycles per wave,429338.75
Grid Size,3824938.4
#Threads,181.6
Shared Memory Allocated,1024.0
Shared Memory Instructions per wave,427.15
Shared Memory Bank Conflicts (%),3.86
Register Spill Instructions per wave,0.0
Global Memory Instructions per wave,7986.64
Global Memory Read Instructions per wave,5745.44
Global Memory Write Instructions per wave,2240.68
Coalesced Instructions (% of peak),43.0
Global Atomic Operations per wave,0.53
SALU Instructions,1855150705.136125
VALU Instructions,0.0
L1 Requests,21068405567.908375
L2 Requests,12937423832.429998
Dependency Wait Cycles,227873254142.85562
Issue Wait Cycles,25659285491.921875
Shared Memory Instructions,25528475.586875
Register Spill Instructions,0.0
Global Memory Instructions,477318844.109
Global Memory Read Instructions,343374282.51399994
Global Memory Write Instructions,133913483.97049999
Global Atomic Operations,31675.271125
