,omp 8192 8192 1000,sycl 8192 8192 1000,cuda 8192 8192 1000
Runtime,2168100180.0,1560945910.0,1727375040.0
HtoD copy time,37864420.0,38752995.0,39995565.0
DtoH copy time,48492625.0,54477790.0,61448760.0
Instructions Executed,414076897563.8516,254009149594.33472,248761026600.03232
IPC,1.164760239760238,1.1000699300699393,1.0429720279720676
Shared Memory Stores,8396996608.0,5248122880.0,5248122880.0
Shared Memory Loads,54055665664.0,53006041088.0,53006041088.0
Shared Memory Store Bank Conflicts,5361819943.0,5335709003.0,5401551501.0
Shared Memory Load Bank Conflicts,57719262931.0,60159957840.0,60233621151.0
Global Memory Load Instructions,76622594048.0,14169931776.0,14169931776.0
Global Memory Store Instructions,4198498304.0,4198498304.0,4198498304.0
Global Memory Load (MB),1008221.1699999836,1240667.4099999953,1221448.2499999988
Global Memory Store (MB),989352.3000000195,1192215.890000004,1176718.0499999896
Global Memory Load Throughput (GB/s),231.45310689310662,342.2714735264739,333.1693906093906
Global Memory Store Throughput (GB/s),226.91547452547434,328.24217782217835,320.4996153846155
Global Memory Load Bank Conflicts,7830821811.0,5887434572.0,5884279060.0
Global Memory Store Bank Conflicts,4521588995.0,4585788068.0,4620456270.0
L1 Cache Accesses (Bytes),6449.869999999791,2275536.970000012,2278007.0200000326
L1 Cache Hits (%),69.18927072927188,28.51347152847084,27.918446553447072
L1 Cache Throughput (GB/s),1.4817132867133043,391.380359640365,392.41798201798554
L2 Cache Accesses (Bytes),2213801.790000033,2679285.4699999983,2652243.9700000044
L2 Cache Hits (%),54.4421078921081,53.72300199800193,53.81503496503503
L2 Cache Throughput (GB/s),508.08606393606436,737.9211188811176,722.5857192807213
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,20109159.0,1850764.0,4885051.0
Warp Stalls - Branch Resolving Not Issued,204162.0,15507.0,28503.0
Warp Stalls - Dispatch Stall Not Issued,104220.0,55841.0,91907.0
Warp Stalls - Drain Not Issued,16186.0,125772.0,245974.0
Warp Stalls - IMC Miss Not Issued,55006.0,9484.0,52028.0
Warp Stalls - LG Throttle Not Issued,20540479.0,1041956.0,1209024.0
Warp Stalls - Long Scoreboard Not Issued,4916048.0,1739700.0,2282438.0
Warp Stalls - Math Pipe Throttle Not Issued,75122.0,27898.0,52480.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,26966979.0,21193388.0,40525171.0
Warp Stalls - Misc Not Issued,91301.0,73003.0,85559.0
Warp Stalls - No Instructions Not Issued,156336.0,39958.0,48364.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1634507.0,3017308.0,6876131.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,53359.0,0.0,0.0
Warp Stalls - Wait Not Issued,5531559.0,929867.0,1670062.0
Occupancy,134020.97000000064,169586.78000000073,193977.55999999912
