,omp 128 10000000 50 omp offloading kernel,sycl 128 10000000 50 sycl kernel,cuda 128 10000000 50 cuda_kernel
Runtime,2576072300.0,185204265.0,169519805.0
HtoD copy time,23827335.0,16837560.0,17248105.0
DtoH copy time,7374250.0,10207005.0,10345390.0
#Threads,256.0,256.0,256.0
#Teams,39063.0,39063.0,39063.0
Instructions Executed,747021892717.0,65186993709.500046,60679220702.99996
IPC,2.340000000000002,3.189999999999998,3.060000000000002
Shared Memory Stores,41061980100.0,23437800.0,23437400.0
Shared Memory Loads,34999555500.0,1999980800.0,1999980800.0
Shared Memory Store Bank Conflicts,644399.0,325065.0,523920.0
Shared Memory Load Bank Conflicts,966171.0,5894649.0,5813532.0
Global Memory Load Instructions,6999911100.0,4054649100.0,4054648700.0
Global Memory Store Instructions,3999949200.0,15624850.0,15624850.0
Global Memory Load (MB),6107.770000000006,7598.120000000008,7663.650000000014
Global Memory Store (MB),45585.16000000005,2508.5899999999997,2531.98
Global Memory Load Throughput (GB/s),2.090000000000002,31.943600000000025,33.251999999999995
Global Memory Store Throughput (GB/s),862.2234,10.546600000000005,10.985800000000006
Global Memory Load Bank Conflicts,9843819.0,3291210.0,3420711.0
Global Memory Store Bank Conflicts,36344.0,113517.0,135096.0
L1 Cache Accesses (Bytes),16066.900000000007,36600.93000000002,38092.900000000016
L1 Cache Hits (%),99.14000000000001,93.42999999999998,93.42999999999998
L1 Cache Throughput (GB/s),303.89799999999997,729.2786,759.118
L2 Cache Accesses (Bytes),24236.579999999984,11400.21,11497.089999999995
L2 Cache Hits (%),85.35419999999998,33.38200000000003,33.382400000000025
L2 Cache Throughput (GB/s),8.301200000000007,47.928999999999995,49.885200000000026
#Divergent Branches,999990100.0,2800.0,2800.0
Warp Stalls - Barrier Not Issued,16798363.0,94967.0,68939.0
Warp Stalls - Branch Resolving Not Issued,1449475.0,19075.0,38985.0
Warp Stalls - Dispatch Stall Not Issued,52256.0,5789.0,9513.0
Warp Stalls - Drain Not Issued,292.0,158.0,322.0
Warp Stalls - IMC Miss Not Issued,2769.0,302.0,832.0
Warp Stalls - LG Throttle Not Issued,346.0,33.0,21.0
Warp Stalls - Long Scoreboard Not Issued,427360.0,10449.0,15295.0
Warp Stalls - Math Pipe Throttle Not Issued,668291.0,578031.0,537923.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,498222.0,2215.0,2922.0
Warp Stalls - Misc Not Issued,29757.0,120.0,576.0
Warp Stalls - No Instructions Not Issued,252036.0,4973.0,8885.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2573166.0,27079.0,38076.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,101108.0,0.0,0.0
Warp Stalls - Wait Not Issued,4875384.0,64874.0,127506.0
Occupancy,2497.180000000001,4908.0,4899.549999999998
