,omp 67108864 25 omp offloading kernel,sycl 67108864 25 sycl kernel,cuda 67108864 25 cuda_kernel
Runtime,2637139800.0,2722979650.0,2751660720.0
HtoD copy time,1327797710.0,1307738620.0,1365806450.0
DtoH copy time,2947616370.0,2965638440.0,4533551795.0
Instructions Executed,627810308035.4006,473013890496.61945,493061199269.61304
IPC,2.0177000000000023,1.2483100000000071,1.2348050000000077
Shared Memory Stores,44974080000.0,59644313600.0,61341696000.0
Shared Memory Loads,47156428800.0,75792384000.0,81788928000.0
Shared Memory Store Bank Conflicts,27444090078.0,30780953766.0,27389236935.0
Shared Memory Load Bank Conflicts,36482491465.0,39289216948.0,37926389796.0
Global Memory Load Instructions,4194304000.0,4194304000.0,4194304000.0
Global Memory Store Instructions,4194304000.0,4194304000.0,4194304000.0
Global Memory Load (MB),839347.1699999823,825225.1599999828,811019.5999999867
Global Memory Store (MB),936229.6799999961,952622.8999999998,937605.800000001
Global Memory Load Throughput (GB/s),167.98937499999977,160.7139399999999,153.59838999999997
Global Memory Store Throughput (GB/s),184.34071999999972,181.5102249999999,175.17461500000016
Global Memory Load Bank Conflicts,1804751186.0,1789176736.0,1800711927.0
Global Memory Store Bank Conflicts,2331507498.0,2227368956.0,2278777119.0
L1 Cache Accesses (Bytes),1383907.9299999904,1339171.6999999846,1325571.0399999847
L1 Cache Hits (%),34.25435000000004,34.342060000000274,34.30609000000015
L1 Cache Throughput (GB/s),473.31271500000236,450.94460000000015,444.1442700000002
L2 Cache Accesses (Bytes),1458674.9400000065,1441276.67,1419480.260000002
L2 Cache Hits (%),62.68567999999959,63.08744,63.0320350000001
L2 Cache Throughput (GB/s),422.14225000000096,407.9982899999999,398.2327999999996
#Divergent Branches,2641100800.0,357171200.0,0.0
Warp Stalls - Barrier Not Issued,32338485.0,32410457.0,31795613.0
Warp Stalls - Branch Resolving Not Issued,1895371.0,237654.0,53915.0
Warp Stalls - Dispatch Stall Not Issued,48964.0,33255.0,5495.0
Warp Stalls - Drain Not Issued,54681.0,56713.0,37780.0
Warp Stalls - IMC Miss Not Issued,52360.0,52293.0,47993.0
Warp Stalls - LG Throttle Not Issued,884294.0,2871103.0,2167461.0
Warp Stalls - Long Scoreboard Not Issued,5381972.0,13224646.0,12968607.0
Warp Stalls - Math Pipe Throttle Not Issued,298637.0,100855.0,181708.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,18247790.0,31405284.0,32249847.0
Warp Stalls - Misc Not Issued,29328.0,35256.0,688.0
Warp Stalls - No Instructions Not Issued,521798.0,101632.0,85151.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,6385365.0,13401696.0,15192541.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,2701814.0,822419.0,733369.0
Warp Stalls - Wait Not Issued,3496809.0,5521593.0,6081404.0
Occupancy,193761.2099999999,159857.0600000004,152727.93999999968
