,omp 125 omp offloading kernel,sycl 125 sycl kernel,cuda 125 cuda_kernel
Runtime,237148915.0,185300745.0,184944490.0
HtoD copy time,1883075.0,2192030.0,2324560.0
DtoH copy time,2928745.0,3944950.0,2914540.0
Instructions Executed,46507711213.16914,32879990048.46077,29756733462.060238
IPC,1.0355283333333318,1.008076666666658,0.9103433333333458
Shared Memory Stores,4415118000.0,2709584000.0,2578512000.0
Shared Memory Loads,4731538000.0,3786880000.0,3721344000.0
Shared Memory Store Bank Conflicts,1311425986.0,1584878233.0,1316243073.0
Shared Memory Load Bank Conflicts,413421044.0,226745354.0,227228361.0
Global Memory Load Instructions,542736000.0,366608000.0,301072000.0
Global Memory Store Instructions,409608000.0,249864000.0,249864000.0
Global Memory Load (MB),1182765.5300000687,1588042.1100001275,1602841.4700001152
Global Memory Store (MB),932246.140000003,1554049.2700000436,1567615.100000039
Global Memory Load Throughput (GB/s),181.7441516666658,249.77296666666803,252.24179999999959
Global Memory Store Throughput (GB/s),137.02662000000004,126.54987833333367,129.42321333333427
Global Memory Load Bank Conflicts,966701497.0,388629913.0,242033230.0
Global Memory Store Bank Conflicts,752958177.0,295161459.0,296086145.0
L1 Cache Accesses (Bytes),2439032.5299999295,2214801.240000023,3132890.129999962
L1 Cache Hits (%),52.14019833333311,14.579921666666497,11.016139999999856
L1 Cache Throughput (GB/s),360.15009666665753,344.45040499999783,500.26106499999764
L2 Cache Accesses (Bytes),3706376.1700000605,3159391.9000002104,3184540.3000001935
L2 Cache Hits (%),59.663379999999655,44.207820000000495,44.1764650000001
L2 Cache Throughput (GB/s),584.5404550000018,504.0678116666681,508.27665166666577
#Divergent Branches,33025000.0,32768000.0,32768000.0
Warp Stalls - Barrier Not Issued,1738893.0,956380.0,1045392.0
Warp Stalls - Branch Resolving Not Issued,73363.0,38885.0,45999.0
Warp Stalls - Dispatch Stall Not Issued,6177.0,3210.0,5537.0
Warp Stalls - Drain Not Issued,49403.0,160427.0,184697.0
Warp Stalls - IMC Miss Not Issued,162406.0,196406.0,175558.0
Warp Stalls - LG Throttle Not Issued,374267.0,126582.0,146758.0
Warp Stalls - Long Scoreboard Not Issued,1404622.0,1828028.0,1948933.0
Warp Stalls - Math Pipe Throttle Not Issued,19533.0,11511.0,12026.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1408522.0,925100.0,901230.0
Warp Stalls - Misc Not Issued,7138.0,1887.0,4777.0
Warp Stalls - No Instructions Not Issued,256114.0,152552.0,160740.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,461861.0,381398.0,415438.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,25661.0,3367.0,3722.0
Warp Stalls - Wait Not Issued,377401.0,288469.0,303471.0
Occupancy,333580.3699999958,343129.0600000073,334539.2800000062
