,omp 125 12 1 12 omp offloading kernel,sycl 125 12 1 12 sycl kernel,cuda 125 12 1 12 cuda_kernel
Runtime,27620140.0,22056150.0,21157425.0
HtoD copy time,38210.0,36225.0,35995.0
DtoH copy time,2560.0,2655.0,2655.0
#Threads,256.0,256.0,256.0
#Teams,1.0,1.0,1.0
Instructions Executed,13512227.359999985,11700903.23000001,11036870.410000017
IPC,0.3683333333333332,0.4086458333333331,0.4001041666666661
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,84864.0,84864.0,87216.0
Global Memory Store Instructions,10752.0,10752.0,10752.0
Global Memory Load (MB),112670.54000000007,26373.94999999998,26582.379999999997
Global Memory Store (MB),134.9,40937.72999999999,10545.279999999999
Global Memory Load Throughput (GB/s),897.7064583333337,1.1377083333333338,1.193333333333335
Global Memory Store Throughput (GB/s),1.0718750000000001,1.7680208333333332,89.24197916666664
Global Memory Load Bank Conflicts,3066363.0,2445090.0,2457795.0
Global Memory Store Bank Conflicts,62260.0,58713.0,60158.0
L1 Cache Accesses (Bytes),5930.820000000006,5422.969999999992,4668.429999999995
L1 Cache Hits (%),38.59104166666666,43.188854166666665,38.04260416666666
L1 Cache Throughput (GB/s),47.229375000000005,45.53052083333332,39.495729166666685
L2 Cache Accesses (Bytes),4372.08,3661.259999999998,3512.829999999999
L2 Cache Hits (%),100.00093749999996,98.83895833333331,97.77083333333337
L2 Cache Throughput (GB/s),34.82468749999998,30.745312499999997,29.72322916666667
#Divergent Branches,3312.0,3216.0,3216.0
Warp Stalls - Barrier Not Issued,16102.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,96.0,95.0,103.0
Warp Stalls - Dispatch Stall Not Issued,0.0,5.0,9.0
Warp Stalls - Drain Not Issued,1.0,16.0,24.0
Warp Stalls - IMC Miss Not Issued,79.0,91.0,89.0
Warp Stalls - LG Throttle Not Issued,1603.0,3016.0,3194.0
Warp Stalls - Long Scoreboard Not Issued,9650.0,13184.0,12813.0
Warp Stalls - Math Pipe Throttle Not Issued,1.0,0.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Misc Not Issued,7.0,139.0,0.0
Warp Stalls - No Instructions Not Issued,420.0,643.0,554.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,14.0,31.0,51.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,4364.0,7594.0,7111.0
Occupancy,1200.0,599.54,594.4499999999999
