,omp 1000 33554432 256,sycl 1000 33554432 256,cuda 1000 33554432 256
Runtime,3147327915.0,3144401300.0,3031997415.0
HtoD copy time,18941825.0,19799485.0,19998245.0
DtoH copy time,24580690.0,35123750.0,35179005.0
Instructions Executed,214090681271.9209,156324407559.77975,133033650700.22415
IPC,0.7531314285714191,0.5085400000000236,0.5286028571428293
Shared Memory Stores,14342889000.0,10526898000.0,4868691000.0
Shared Memory Loads,18948413000.0,20527452000.0,15790347000.0
Shared Memory Store Bank Conflicts,75046821.0,9625338337.0,129610508.0
Shared Memory Load Bank Conflicts,9974234647.0,17030071098.0,10157797638.0
Global Memory Load Instructions,2236964000.0,3158066000.0,2236964000.0
Global Memory Store Instructions,2631722000.0,2631722000.0,2631722000.0
Global Memory Load (MB),2787100.700000066,2602180.2900000643,2722383.6700000614
Global Memory Store (MB),1068885.1200000183,1056524.9600000212,1156313.7400000226
Global Memory Load Throughput (GB/s),206.9253342857151,181.4974900000016,198.73917142857584
Global Memory Store Throughput (GB/s),81.05283285714302,85.04377714285744,95.54441999999986
Global Memory Load Bank Conflicts,1385937966.0,1405622428.0,1424756715.0
Global Memory Store Bank Conflicts,1196179174.0,1182658933.0,1207382193.0
L1 Cache Accesses (Bytes),2987528.0000000503,3082854.55000008,2337996.2599998587
L1 Cache Hits (%),49.99628571428659,49.982435714287035,49.98226714285912
L1 Cache Throughput (GB/s),288.20257142858003,301.82065000000665,195.41232285714057
L2 Cache Accesses (Bytes),2788444.9699999364,2925665.770000006,3132476.070000056
L2 Cache Hits (%),85.53964428571392,79.70081571428773,78.7596385714295
L2 Cache Throughput (GB/s),293.1039285714299,312.5101799999977,342.1546628571418
#Divergent Branches,131586000.0,0.0,131586000.0
Warp Stalls - Barrier Not Issued,12908990.0,12434580.0,10973126.0
Warp Stalls - Branch Resolving Not Issued,694697.0,163555.0,227069.0
Warp Stalls - Dispatch Stall Not Issued,22276.0,23265.0,27136.0
Warp Stalls - Drain Not Issued,51541.0,446365.0,387838.0
Warp Stalls - IMC Miss Not Issued,136599.0,159074.0,144441.0
Warp Stalls - LG Throttle Not Issued,30462.0,55656.0,49783.0
Warp Stalls - Long Scoreboard Not Issued,6604827.0,9858351.0,10119726.0
Warp Stalls - Math Pipe Throttle Not Issued,64228.0,25505.0,25113.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,6336620.0,11909963.0,6275021.0
Warp Stalls - Misc Not Issued,26277.0,14818.0,40281.0
Warp Stalls - No Instructions Not Issued,304743.0,187084.0,192761.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2146886.0,1494357.0,1687872.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,813128.0,115660.0,208756.0
Warp Stalls - Wait Not Issued,1799355.0,1514986.0,1162746.0
Occupancy,310590.28999999154,297118.6499999907,297871.0899999988
