,omp 100000000 256 100 omp offloading kernel,sycl 100000000 256 100 sycl kernel,cuda 100000000 256 100 cuda_kernel
Runtime,162670300.0,383492420.0,383673635.0
HtoD copy time,54470620.0,55002020.0,60472865.0
DtoH copy time,76497090.0,73278585.0,74169320.0
#Threads,256.0,,
#Teams,390625.0,,
Instructions Executed,38867187715.00008,41562213439.55012,30937500200.959877
IPC,2.150000000000004,1.1977499999999963,1.0048000000000041
Shared Memory Stores,3164062500.0,351562500.0,351562500.0
Shared Memory Loads,1914062500.0,351562500.0,351562500.0
Shared Memory Store Bank Conflicts,1885819.0,260774.0,271595.0
Shared Memory Load Bank Conflicts,19313248.0,15796971.0,15024116.0
Global Memory Load Instructions,312500000.0,625000000.0,625000000.0
Global Memory Store Instructions,312500000.0,625000000.0,625000000.0
Global Memory Load (MB),65609.82999999996,133023.96000000005,133196.84
Global Memory Store (MB),33362.89,69982.23999999992,70117.23999999996
Global Memory Load Throughput (GB/s),256.09600000000006,265.11755,265.9822500000002
Global Memory Store Throughput (GB/s),130.22510000000003,137.31140000000008,137.8575000000002
Global Memory Load Bank Conflicts,7978086.0,31988099.0,24487312.0
Global Memory Store Bank Conflicts,3594822.0,6586307.0,6861524.0
L1 Cache Accesses (Bytes),114816.92999999996,244421.61999999985,244723.98000000007
L1 Cache Hits (%),23.94200000000002,11.964250000000003,11.964850000000002
L1 Cache Throughput (GB/s),448.1650999999998,478.3587,479.86915
L2 Cache Accesses (Bytes),115483.25000000004,248059.76999999981,248419.8299999999
L2 Cache Hits (%),43.18819999999999,46.88284999999997,46.89279999999995
L2 Cache Throughput (GB/s),450.7658999999998,483.4634000000004,485.10645000000005
#Divergent Branches,351562500.0,664062500.0,664062500.0
Warp Stalls - Barrier Not Issued,1411205.0,682565.0,430665.0
Warp Stalls - Branch Resolving Not Issued,146325.0,169727.0,105296.0
Warp Stalls - Dispatch Stall Not Issued,4454.0,11358.0,1978.0
Warp Stalls - Drain Not Issued,11436.0,60077.0,37515.0
Warp Stalls - IMC Miss Not Issued,1915.0,5223.0,4139.0
Warp Stalls - LG Throttle Not Issued,762.0,1837.0,1172.0
Warp Stalls - Long Scoreboard Not Issued,847402.0,12617102.0,7040367.0
Warp Stalls - Math Pipe Throttle Not Issued,23130.0,34676.0,5724.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,310454.0,54259.0,48872.0
Warp Stalls - Misc Not Issued,3762.0,3161.0,2228.0
Warp Stalls - No Instructions Not Issued,23576.0,30966.0,16382.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,206841.0,251232.0,152998.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,80021.0,3922.0,2219.0
Warp Stalls - Wait Not Issued,278435.0,553248.0,246799.0
Occupancy,9365.069999999998,18412.919999999995,18384.690000000024
