,omp 65536 16384 100,sycl 65536 16384 100,cuda 65536 16384 100
Runtime,743054355.0,619310165.0,1176119100.0
HtoD copy time,564970145.0,587365980.0,571142425.0
DtoH copy time,24285.0,27680.0,27385.0
Instructions Executed,181422670501.22006,88642566816.6899,99684745411.39029
IPC,1.2416501650165037,0.8251980198019816,0.9078712871287112
Shared Memory Stores,9323880448.0,847249408.0,847249408.0
Shared Memory Loads,7996855501.0,3844587344.0,3718387063.0
Shared Memory Store Bank Conflicts,28444719.0,7674521.0,8909142.0
Shared Memory Load Bank Conflicts,22104554.0,19275290.0,18679835.0
Global Memory Load Instructions,3389204480.0,3389204480.0,3389204480.0
Global Memory Store Instructions,413696.0,206848.0,206848.0
Global Memory Load (MB),177530.11000000013,102214.73000000024,108440.47
Global Memory Store (MB),147542.1600000002,54905.760000000024,66051.02999999997
Global Memory Load Throughput (GB/s),494.28732673267297,371.7017326732673,402.7014356435641
Global Memory Store Throughput (GB/s),209.9564356435643,270.4348019801981,296.0927722772277
Global Memory Load Bank Conflicts,12938906.0,14864167.0,11476292.0
Global Memory Store Bank Conflicts,10562.0,9878.0,27666.0
L1 Cache Accesses (Bytes),155674.72999999972,137498.85999999937,144056.85999999946
L1 Cache Hits (%),16.666666666666668,25.0,25.0
L1 Cache Throughput (GB/s),250.15798679867981,416.32742574257406,448.7927722772276
L2 Cache Accesses (Bytes),171162.78999999954,104446.3999999997,110662.68999999986
L2 Cache Hits (%),77.70122112211213,42.34504950495058,41.86440594059402
L2 Cache Throughput (GB/s),329.1919471947194,511.61054455445543,544.9961881188123
#Divergent Branches,3846310.0,3416004.0,3482367.0
Warp Stalls - Barrier Not Issued,2441356.0,1095322.0,946051.0
Warp Stalls - Branch Resolving Not Issued,407618.0,98200.0,101254.0
Warp Stalls - Dispatch Stall Not Issued,27968.0,15323.0,23110.0
Warp Stalls - Drain Not Issued,13339.0,18473.0,19230.0
Warp Stalls - IMC Miss Not Issued,14307.0,6480.0,6730.0
Warp Stalls - LG Throttle Not Issued,17.0,0.0,2788.0
Warp Stalls - Long Scoreboard Not Issued,6740804.0,7515608.0,5654314.0
Warp Stalls - Math Pipe Throttle Not Issued,134888.0,36690.0,63076.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,124222.0,3126.0,17022.0
Warp Stalls - Misc Not Issued,13674.0,5377.0,4303.0
Warp Stalls - No Instructions Not Issued,129280.0,38364.0,28069.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1093636.0,486299.0,518789.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,8877.0,48.0,66.0
Warp Stalls - Wait Not Issued,1287440.0,552043.0,467658.0
Occupancy,15987.530000000032,13146.390000000023,13075.270000000033
