,omp 256 1000,sycl 256 1000,cuda 256 1000
Runtime,1357425535.0,990735405.0,1996820710.0
HtoD copy time,8770625.0,5038485.0,4506060.0
DtoH copy time,13573830.0,12154010.0,8688340.0
#Threads,128.0,128.0,128.0
#Teams,256.0,256.0,256.0
Instructions Executed,175434357198.90118,130916249304.07057,118295058562.15936
IPC,1.1989000000000236,1.3040699999999725,0.5621599999999973
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,15679911000.0,6294896000.0,5770608000.0
Global Memory Store Instructions,1673396000.0,1673396000.0,1932759000.0
Global Memory Load (MB),29252.05000000001,33856.35000000005,557729.199999995
Global Memory Store (MB),85637.63999999984,96866.83999999994,95811.32000000017
Global Memory Load Throughput (GB/s),11.677510000000002,16.27742000000002,556.5629099999999
Global Memory Store Throughput (GB/s),34.18668999999995,46.571639999999924,30.962929999999993
Global Memory Load Bank Conflicts,34936628319.0,32991376207.0,35714239333.0
Global Memory Store Bank Conflicts,128880960.0,148218947.0,190861854.0
L1 Cache Accesses (Bytes),4359.509999999811,4466.310000000059,4064.4200000000114
L1 Cache Hits (%),75.11243000000005,68.85058000000005,54.834840000000014
L1 Cache Throughput (GB/s),1.7395100000000083,2.146310000000038,1.3144199999999846
L2 Cache Accesses (Bytes),1163749.4999999981,1438463.5599999975,620336.5099999995
L2 Cache Hits (%),98.5283400000001,98.72124000000017,54.36506999999999
L2 Cache Throughput (GB/s),464.5702400000007,691.5828400000005,619.0382499999997
#Divergent Branches,109222000.0,109222000.0,100534000.0
Warp Stalls - Barrier Not Issued,8313149.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,859962.0,759894.0,639219.0
Warp Stalls - Dispatch Stall Not Issued,157272.0,62078.0,56942.0
Warp Stalls - Drain Not Issued,266.0,2387.0,1102.0
Warp Stalls - IMC Miss Not Issued,53576.0,14060.0,30310.0
Warp Stalls - LG Throttle Not Issued,10914659.0,4353749.0,3513828.0
Warp Stalls - Long Scoreboard Not Issued,9837008.0,13807443.0,64435037.0
Warp Stalls - Math Pipe Throttle Not Issued,385566.0,349999.0,177885.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,534967.0,611970.0,423962.0
Warp Stalls - Misc Not Issued,30785.0,20977.0,11512.0
Warp Stalls - No Instructions Not Issued,182138.0,258955.0,179316.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2239701.0,1956470.0,2003966.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,31.0,0.0,0.0
Warp Stalls - Wait Not Issued,8773675.0,6844755.0,6999651.0
Occupancy,20008.089999999935,19972.869999999853,19877.459999999934
