,omp,sycl,cuda
Runtime,2674766840.0,2551033975.0,4326396880.0
HtoD copy time,6453460.0,10954275.0,6985490.0
DtoH copy time,74225270.0,75515675.0,123739980.0
Instructions Executed,189239082906.84726,91406084078.16452,78775899416.23117
IPC,0.7151986475061761,0.31370461538461814,0.2627869230769171
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,7031232000.0,7031232000.0,6738264000.0
Global Memory Store Instructions,7051544448.0,7031232000.0,6738264000.0
Global Memory Load (MB),4893399.400000009,4778631.700000046,4677176.360000017
Global Memory Store (MB),5375505.929999853,5484083.229999929,5395447.84999994
Global Memory Load Throughput (GB/s),314.17086298317037,309.9952546153849,308.37391230769447
Global Memory Store Throughput (GB/s),344.8084584646125,355.29997615384514,353.9879223076922
Global Memory Load Bank Conflicts,7448368454.0,7547986541.0,5857696308.0
Global Memory Store Bank Conflicts,7202495912.0,7165725628.0,5529778807.0
L1 Cache Accesses (Bytes),6595099.599999299,6624839.250000135,7846469.70000024
L1 Cache Hits (%),42.55049796357536,42.79600384615433,35.785979230769186
L1 Cache Throughput (GB/s),245.48141089678654,248.06455769230791,372.8053615384586
L2 Cache Accesses (Bytes),6616731.259999705,5899742.1599992635,7166657.770000104
L2 Cache Hits (%),66.48037654652887,67.7189138461547,65.0103184615422
L2 Cache Throughput (GB/s),299.788111119629,247.84835230768726,372.6054046154024
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,13663119.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,256363.0,638381.0,605787.0
Warp Stalls - Dispatch Stall Not Issued,59055.0,92467.0,16328.0
Warp Stalls - Drain Not Issued,57756.0,6388602.0,6420528.0
Warp Stalls - IMC Miss Not Issued,339565.0,305565.0,291077.0
Warp Stalls - LG Throttle Not Issued,40464684.0,40634443.0,39888778.0
Warp Stalls - Long Scoreboard Not Issued,42016345.0,58908460.0,46231451.0
Warp Stalls - Math Pipe Throttle Not Issued,220579.0,23304.0,13906.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,52557.0,401181.0,474143.0
Warp Stalls - Misc Not Issued,15835.0,4095.0,12852.0
Warp Stalls - No Instructions Not Issued,204983.0,356769.0,340197.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,148793.0,1306098.0,1291428.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,186702.0,0.0,0.0
Warp Stalls - Wait Not Issued,1726605.0,1891957.0,1871265.0
Occupancy,1240942.7100000144,1044081.9599999967,1077961.04
