,omp 1000,sycl 1000,cuda 1000
Runtime,904351135.0,855364435.0,857244415.0
HtoD copy time,27401985.0,28997455.0,27135020.0
DtoH copy time,35825260.0,38227455.0,37552460.0
#Threads,256.0,256.0,256.0
#Teams,3200.0,39063.0,39063.0
Instructions Executed,40829880419.759,36875040369.99986,35312532358.54026
IPC,0.41976000000000296,0.37000000000000355,0.35854000000000796
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,625000000.0,625000000.0,625000000.0
Global Memory Store Instructions,1562500000.0,1562500000.0,1562500000.0
Global Memory Load (MB),493261.8700000003,419185.81000000006,417911.0100000004
Global Memory Store (MB),685339.4900000007,681359.3699999998,678368.4000000001
Global Memory Load Throughput (GB/s),251.16772999999978,215.7556200000001,214.87040999999996
Global Memory Store Throughput (GB/s),348.9730600000007,350.6968799999999,348.7854
Global Memory Load Bank Conflicts,199868504.0,179268374.0,178513087.0
Global Memory Store Bank Conflicts,149058874.0,142029034.0,141917253.0
L1 Cache Accesses (Bytes),2852.3600000000542,2884.520000000036,2880.0500000000684
L1 Cache Hits (%),70.93906999999996,71.2761699999991,71.26252999999987
L1 Cache Throughput (GB/s),1.452360000000025,1.4845200000000116,1.4800500000000143
L2 Cache Accesses (Bytes),2751.7499999999745,2758.460000000041,2740.069999999951
L2 Cache Hits (%),82.12245000000011,84.7806699999996,84.79810999999991
L2 Cache Throughput (GB/s),1.4017500000000138,1.4186100000000086,1.4100700000000148
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,4004045.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,53262.0,63621.0,121560.0
Warp Stalls - Dispatch Stall Not Issued,767.0,2838.0,1056.0
Warp Stalls - Drain Not Issued,10411.0,1077442.0,2084100.0
Warp Stalls - IMC Miss Not Issued,29180.0,4849.0,34200.0
Warp Stalls - LG Throttle Not Issued,13895394.0,16993012.0,34810818.0
Warp Stalls - Long Scoreboard Not Issued,1837809.0,1685280.0,3115105.0
Warp Stalls - Math Pipe Throttle Not Issued,11248.0,25307.0,50987.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,3768.0,26371.0,46762.0
Warp Stalls - Misc Not Issued,1443.0,1966.0,4158.0
Warp Stalls - No Instructions Not Issued,96472.0,54162.0,153724.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,59525.0,251069.0,519729.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,8507.0,0.0,0.0
Warp Stalls - Wait Not Issued,187773.0,173713.0,364926.0
Occupancy,95232.39999999988,88752.14000000001,88483.40000000007
