,URNG_Input.bmp
Runtime,35651710.0
HtoD copy time,28795.0
DtoH copy time,23805.0
#Threads,4.0
#Teams,16384.0
Instructions Executed,13087539572.59998
IPC,3.726000000000005
Shared Memory Stores,47513600.0
Shared Memory Loads,29491200.0
Shared Memory Store Bank Conflicts,6.0
Shared Memory Load Bank Conflicts,67466.0
Global Memory Load Instructions,85196800.0
Global Memory Store Instructions,1638400.0
Global Memory Load (MB),52030.699999999946
Global Memory Store (MB),48565.809999999976
Global Memory Load Throughput (GB/s),1.4508999999999994
Global Memory Store Throughput (GB/s),1.3543
Global Memory Load Bank Conflicts,6034775.0
Global Memory Store Bank Conflicts,213.0
L1 Cache Accesses (Bytes),58492.11999999986
L1 Cache Hits (%),99.3084
L1 Cache Throughput (GB/s),430.8312
L2 Cache Accesses (Bytes),1314.350000000003
L2 Cache Hits (%),91.89290000000007
L2 Cache Throughput (GB/s),9.681000000000001
#Divergent Branches,49152000.0
Warp Stalls - Barrier Not Issued,850.0
Warp Stalls - Branch Resolving Not Issued,2052.0
Warp Stalls - Dispatch Stall Not Issued,85.0
Warp Stalls - Drain Not Issued,210.0
Warp Stalls - IMC Miss Not Issued,2856.0
Warp Stalls - LG Throttle Not Issued,67.0
Warp Stalls - Long Scoreboard Not Issued,6538.0
Warp Stalls - Math Pipe Throttle Not Issued,0.0
Warp Stalls - Membar Not Issued,0.0
Warp Stalls - MIO Throttle Not Issued,135.0
Warp Stalls - Misc Not Issued,23.0
Warp Stalls - No Instructions Not Issued,34727.0
Warp Stalls - Not Selected Not Issued,0.0
Warp Stalls - Selected Not Issued,0.0
Warp Stalls - Short Scoreboard Not Issued,886.0
Warp Stalls - Sleeping Not Issued,0.0
Warp Stalls - TEX Throttle Not Issued,0.0
Warp Stalls - Wait Not Issued,31459.0
Occupancy,4692.990000000001
